time,cat,msg,status,flag,scope,sector,dNum,lap
2026-03-27T05:49:48.000000000,Other,RISK OF RAIN FOR F1 FREE PRACTICE 2 IS 0%,None,None,None,None,None,None
2026-03-27T05:54:12.000000000,Flag,CLEAR IN TRACK SECTOR 1,None,CLEAR,Sector,1.0,None,None
2026-03-27T05:54:14.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-03-27T05:59:03.000000000,SafetyCar,VSC DEPLOYED,DEPLOYED,None,None,None,None,None
2026-03-27T05:59:10.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-03-27T05:59:12.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,None,DOUBLE YELLOW,Sector,3.0,None,None
2026-03-27T06:00:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-03-27T06:00:21.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-03-27T06:00:23.000000000,Flag,CLEAR IN TRACK SECTOR 3,None,CLEAR,Sector,3.0,None,None
2026-03-27T06:00:39.000000000,SafetyCar,VSC ENDING,ENDING,None,None,None,None,None
2026-03-27T06:00:51.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-03-27T06:05:24.000000000,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 21,None,None,None,None,None,None
2026-03-27T06:05:26.000000000,Flag,CLEAR IN TRACK SECTOR 21,None,CLEAR,Sector,21.0,None,None
2026-03-27T06:11:15.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,None,DOUBLE YELLOW,Sector,3.0,None,None
2026-03-27T06:11:36.000000000,Flag,YELLOW IN TRACK SECTOR 2,None,YELLOW,Sector,2.0,None,None
2026-03-27T06:11:48.000000000,Flag,CLEAR IN TRACK SECTOR 3,None,CLEAR,Sector,3.0,None,None
2026-03-27T06:11:51.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-03-27T06:13:19.000000000,Other,TURN 15 INCIDENT INVOLVING CARS 43 (COL) AND 3 (VER) NOTED - DRIVING ERRATICALLY,None,None,None,None,None,None
2026-03-27T06:14:50.000000000,Other,CAR 31 (OCO) TIME 2:06.810 DELETED - DOUBLE YELLOW AT TURN 1,None,None,None,None,None,None
2026-03-27T06:14:51.000000000,Other,CAR 81 (PIA) LAP DELETED - DOUBLE YELLOW AT TURN 1,None,None,None,None,None,None
2026-03-27T06:14:59.000000000,Other,CAR 77 (BOT) LAP DELETED - DOUBLE YELLOW AT TURN 1,None,None,None,None,None,None
2026-03-27T06:15:10.000000000,Other,CAR 3 (VER) TIME 1:48.288 DELETED - DOUBLE YELLOW AT TURN 1,None,None,None,None,None,None
2026-03-27T06:15:37.000000000,Other,CAR 12 (ANT) TIME 2:16.958 DELETED - DOUBLE YELLOW AT TURN 1,None,None,None,None,None,None
2026-03-27T06:21:27.000000000,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 43 (COL) AND 3 (VER) WILL BE INVESTIGATED AFTER THE SESSION - DRIVING ERRATICALLY,None,None,None,None,None,None
2026-03-27T06:39:00.000000000,Other,CAR 1 (NOR) TIME 1:47.127 DELETED - TRACK LIMITS AT TURN 13 LAP 7 15:37:52,None,None,None,None,None,None
2026-03-27T06:42:24.000000000,Other,CAR 1 (NOR) LAP DELETED - TRACK LIMITS AT TURN 17 LAP 9 15:42:00 (PIT),None,None,None,None,None,None
2026-03-27T07:00:00.000000000,Flag,CHEQUERED FLAG,None,CHEQUERED,Track,None,None,None
2026-03-27T07:00:21.000000000,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),None,None,None,None,None,None
2026-03-27T07:02:25.000000000,Other,CAR 44 (HAM) TIME 1:35.751 DELETED - TRACK LIMITS AT TURN 13 LAP 22 15:55:29,None,None,None,None,None,None
2026-03-27T07:02:40.000000000,Other,CAR 3 (VER) TIME 1:36.662 DELETED - TRACK LIMITS AT TURN 13 LAP 25 15:56:51,None,None,None,None,None,None
2026-03-27T07:02:40.000000000,Other,CAR 1 (NOR) TIME 1:33.066 DELETED - TRACK LIMITS AT TURN 13 LAP 14 15:57:59,None,None,None,None,None,None
2026-03-27T07:07:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,None,DOUBLE YELLOW,Sector,16.0,None,None
2026-03-27T07:07:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,None,DOUBLE YELLOW,Sector,17.0,None,None
2026-03-27T07:07:41.000000000,Flag,YELLOW IN TRACK SECTOR 15,None,YELLOW,Sector,15.0,None,None
2026-03-27T07:07:51.000000000,Flag,CLEAR IN TRACK SECTOR 16,None,CLEAR,Sector,16.0,None,None
2026-03-27T07:07:51.000000000,Flag,CLEAR IN TRACK SECTOR 17,None,CLEAR,Sector,17.0,None,None
2026-03-27T07:07:52.000000000,Flag,CLEAR IN TRACK SECTOR 15,None,CLEAR,Sector,15.0,None,None
2026-03-27T07:11:06.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 28,None,DOUBLE YELLOW,Sector,28.0,None,None
2026-03-27T07:11:14.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,None,DOUBLE YELLOW,Sector,12.0,None,None
2026-03-27T07:11:15.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,None,DOUBLE YELLOW,Sector,15.0,None,None
2026-03-27T07:11:15.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 26,None,DOUBLE YELLOW,Sector,26.0,None,None
2026-03-27T07:11:15.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 27,None,DOUBLE YELLOW,Sector,27.0,None,None
2026-03-27T07:11:17.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,None,DOUBLE YELLOW,Sector,4.0,None,None
2026-03-27T07:11:17.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,None,DOUBLE YELLOW,Sector,11.0,None,None
2026-03-27T07:11:17.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 25,None,DOUBLE YELLOW,Sector,25.0,None,None
2026-03-27T07:11:19.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 23,None,DOUBLE YELLOW,Sector,23.0,None,None
2026-03-27T07:11:19.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,None,DOUBLE YELLOW,Sector,8.0,None,None
