time,cat,msg,status,flag,scope,sector,dNum,lap
2026-03-27T07:11:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 24,None,DOUBLE YELLOW,Sector,24.0,None,None
2026-03-27T07:11:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 29,None,DOUBLE YELLOW,Sector,29.0,None,None
2026-03-27T07:11:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,None,DOUBLE YELLOW,Sector,3.0,None,None
2026-03-27T07:11:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 22,None,DOUBLE YELLOW,Sector,22.0,None,None
2026-03-27T07:11:26.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,None,DOUBLE YELLOW,Sector,16.0,None,None
2026-03-27T07:11:26.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 21,None,DOUBLE YELLOW,Sector,21.0,None,None
2026-03-27T07:11:27.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,None,DOUBLE YELLOW,Sector,13.0,None,None
2026-03-27T07:11:27.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,None,DOUBLE YELLOW,Sector,14.0,None,None
2026-03-27T07:11:27.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,None,DOUBLE YELLOW,Sector,20.0,None,None
2026-03-27T07:11:28.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,None,DOUBLE YELLOW,Sector,5.0,None,None
2026-03-27T07:11:31.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,None,DOUBLE YELLOW,Sector,9.0,None,None
2026-03-27T07:11:35.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,None,DOUBLE YELLOW,Sector,10.0,None,None
2026-03-27T07:11:39.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,None,DOUBLE YELLOW,Sector,7.0,None,None
2026-03-27T07:11:40.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,None,DOUBLE YELLOW,Sector,17.0,None,None
2026-03-27T07:11:43.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,None,DOUBLE YELLOW,Sector,6.0,None,None
2026-03-27T07:11:45.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,None,DOUBLE YELLOW,Sector,19.0,None,None
2026-03-27T07:12:14.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,None,DOUBLE YELLOW,Sector,18.0,None,None
2026-03-27T07:14:52.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
