wT,wAT,wH,wP,wR,wTT,wWD,wWS
21.741,15.7,57.3,1010.7,False,34.8,132,1.5
81.76,15.8,56.3,1010.7,False,34.9,129,2.6
141.779,15.8,56.1,1010.6,False,34.5,128,3.4
201.782,15.9,55.5,1010.7,False,34.5,134,2.1
261.783,15.8,57.6,1010.7,False,34.4,122,3.1
321.793,15.9,57.2,1010.6,False,34.1,113,3.0
381.793,15.9,57.6,1010.6,False,35.0,121,1.9
441.794,15.7,57.6,1010.6,False,34.8,131,2.7
501.799,15.8,54.5,1010.6,False,34.7,110,2.0
561.813,15.7,55.8,1010.6,False,35.0,130,2.8
621.828,15.8,53.2,1010.5,False,35.1,118,1.2
681.829,15.7,54.5,1010.5,False,35.0,120,3.4
741.828,15.7,55.8,1010.5,False,35.2,117,2.5
801.849,15.6,56.1,1010.5,False,35.3,124,1.1
861.844,15.7,56.9,1010.4,False,35.5,122,2.7
921.846,15.8,56.4,1010.5,False,35.7,124,1.2
981.847,15.8,56.3,1010.5,False,35.8,131,2.1
1041.872,15.8,56.6,1010.5,False,35.3,115,2.2
1101.88,15.8,55.3,1010.5,False,35.7,128,2.1
1161.882,15.9,57.3,1010.5,False,35.9,125,3.4
1221.881,15.9,54.2,1010.5,False,36.2,149,2.3
1281.886,16.0,52.3,1010.5,False,35.3,94,1.6
1341.881,16.0,54.5,1010.5,False,35.9,119,2.0
1402.746,15.9,54.5,1010.4,False,36.4,102,1.0
1461.904,15.9,55.3,1010.5,False,35.4,106,1.4
1521.901,15.9,55.0,1010.4,False,36.0,118,2.3
1581.918,15.8,54.0,1010.5,False,36.5,133,1.2
1641.934,15.8,55.5,1010.4,False,36.7,119,1.4
1701.933,15.8,54.6,1010.5,False,36.6,129,1.7
1761.954,15.9,53.3,1010.4,False,36.6,117,1.3
1821.965,15.9,52.2,1010.3,False,35.7,119,2.6
1881.967,15.9,52.5,1010.3,False,36.4,105,1.3
1941.969,16.0,54.8,1010.4,False,36.3,104,0.9
2001.969,16.0,53.7,1010.4,False,36.7,135,1.6
2061.97,16.0,54.9,1010.3,False,37.0,111,1.6
2121.974,16.1,54.5,1010.4,False,36.8,136,2.3
2181.974,16.1,54.6,1010.4,False,37.2,125,1.5
2241.986,15.9,55.7,1010.3,False,36.6,107,2.4
2301.989,16.0,56.0,1010.3,False,37.2,101,1.1
2362.014,16.2,54.5,1010.3,False,36.5,99,1.0
2422.021,16.2,54.4,1010.3,False,36.9,124,1.1
2482.022,16.1,52.4,1010.3,False,36.9,122,1.6
2542.022,16.2,53.3,1010.2,False,37.1,145,1.1
2602.038,16.3,55.2,1010.3,False,36.5,43,0.9
2662.054,16.2,55.2,1010.2,False,37.2,109,2.1
2722.073,16.2,53.3,1010.3,False,37.3,119,1.1
2782.076,16.3,53.8,1010.2,False,36.6,86,1.4
2842.074,16.2,53.0,1010.2,False,37.5,131,1.4
2902.073,16.1,55.7,1010.2,False,37.0,119,2.7
2962.081,16.1,54.5,1010.3,False,37.0,80,1.0
3022.08,16.2,54.3,1010.3,False,37.7,112,0.9
3082.075,16.4,52.3,1010.2,False,37.2,117,2.7
3142.076,16.3,50.5,1010.1,False,37.6,127,1.6
3202.094,16.2,52.1,1010.1,False,37.6,145,2.3
3262.116,16.3,52.0,1010.1,False,37.5,123,2.5
3322.11,16.2,52.3,1010.1,False,36.5,91,1.2
3382.12,16.2,51.7,1010.1,False,37.2,119,2.1
3442.122,16.2,52.5,1010.1,False,37.7,137,2.8
3502.113,16.3,51.9,1010.1,False,37.3,116,1.5
3562.111,16.3,52.8,1010.0,False,38.0,131,1.5
3622.112,16.3,53.3,1010.0,False,38.0,118,1.5
3682.113,16.2,52.9,1010.2,False,37.4,86,1.5
3742.114,16.3,52.5,1010.1,False,37.9,120,2.2
3802.119,16.3,52.3,1010.0,False,38.0,138,1.7
3862.116,16.4,54.4,1010.1,False,38.0,133,1.0
3922.116,16.4,52.9,1010.2,False,37.9,143,1.2
3982.115,16.4,50.9,1010.1,False,38.0,8,0.3
4042.117,16.4,51.1,1010.1,False,38.2,107,1.4
4102.119,16.5,51.3,1010.0,False,38.0,23,0.4
4162.121,16.7,52.0,1009.9,False,38.2,133,2.1
4222.12,16.6,51.2,1010.1,False,38.2,142,1.2
4282.121,16.6,52.3,1010.0,False,38.5,145,0.7
4342.133,16.7,53.4,1010.0,False,38.1,342,1.7
4402.122,16.8,52.7,1009.9,False,38.5,0,0.0
4462.124,16.9,51.2,1009.9,False,38.1,110,2.7
4522.124,17.0,50.3,1010.0,False,38.5,0,0.0
4582.129,16.9,50.6,1009.9,False,39.0,122,1.6
4642.686,16.8,49.3,1009.8,False,38.7,121,2.1
4702.126,16.5,49.9,1009.9,False,38.6,140,2.7
4762.126,16.6,50.2,1009.9,False,38.2,131,3.0
