time,cat,msg,status,flag,scope,sector,dNum,lap
2026-03-28T02:19:02.000000000,Other,PINK HEAD PADDING MATERIAL MUST BE USED,None,None,None,None,None,None
2026-03-28T02:30:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-03-28T02:48:14.000000000,Other,CAR 11 (PER) TIME 1:35.946 DELETED - TRACK LIMITS AT TURN 17 LAP 7 11:44:59,None,None,None,None,None,None
2026-03-28T02:48:15.000000000,Other,CAR 11 (PER) LAP DELETED - TRACK LIMITS AT TURN 17 (NEXT LAP PIT),None,None,None,None,None,None
2026-03-28T02:49:13.000000000,Other,TURN 15 INCIDENT INVOLVING CARS 81 (PIA) AND 27 (HUL) NOTED,None,None,None,None,None,None
2026-03-28T02:52:15.000000000,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 81 (PIA) AND 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION,None,None,None,None,None,None
2026-03-28T03:13:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 22,None,DOUBLE YELLOW,Sector,22.0,None,None
2026-03-28T03:13:24.000000000,Flag,CLEAR IN TRACK SECTOR 22,None,CLEAR,Sector,22.0,None,None
2026-03-28T03:15:20.000000000,Other,CAR 63 (RUS) LAP DELETED - DOUBLE YELLOW AT TURN 14,None,None,None,None,None,None
2026-03-28T03:15:21.000000000,Other,CAR 12 (ANT) LAP DELETED - DOUBLE YELLOW AT TURN 14,None,None,None,None,None,None
2026-03-28T03:24:06.000000000,Other,CAR 30 (LAW) TIME 1:44.120 DELETED - TRACK LIMITS AT TURN 13 LAP 16 12:23:19,None,None,None,None,None,None
2026-03-28T03:27:27.000000000,Other,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 16 LAP 16 12:24:31,None,None,None,None,None,None
2026-03-28T03:27:36.000000000,Other,CAR 16 (LEC) TIME 1:46.051 DELETED - TRACK LIMITS AT TURN 13 LAP 16 12:25:20,None,None,None,None,None,None
2026-03-28T03:30:00.000000000,Flag,CHEQUERED FLAG,None,CHEQUERED,Track,None,None,None
2026-03-28T03:30:08.000000000,Other,FIRST CAR TO TAKE THE FLAG - CAR 30 (LAW),None,None,None,None,None,None
2026-03-28T03:30:54.000000000,Other,CAR 44 (HAM) TIME 1:43.865 DELETED - TRACK LIMITS AT TURN 13 LAP 22 12:30:09,None,None,None,None,None,None
2026-03-28T03:37:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,None,DOUBLE YELLOW,Sector,11.0,None,None
2026-03-28T03:37:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,None,DOUBLE YELLOW,Sector,19.0,None,None
2026-03-28T03:37:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 24,None,DOUBLE YELLOW,Sector,24.0,None,None
2026-03-28T03:37:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,None,DOUBLE YELLOW,Sector,7.0,None,None
2026-03-28T03:37:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,None,DOUBLE YELLOW,Sector,9.0,None,None
2026-03-28T03:37:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,None,DOUBLE YELLOW,Sector,10.0,None,None
2026-03-28T03:37:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,None,DOUBLE YELLOW,Sector,15.0,None,None
2026-03-28T03:37:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 22,None,DOUBLE YELLOW,Sector,22.0,None,None
2026-03-28T03:37:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,None,DOUBLE YELLOW,Sector,12.0,None,None
2026-03-28T03:37:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 25,None,DOUBLE YELLOW,Sector,25.0,None,None
2026-03-28T03:37:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 26,None,DOUBLE YELLOW,Sector,26.0,None,None
2026-03-28T03:37:22.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,None,DOUBLE YELLOW,Sector,8.0,None,None
2026-03-28T03:37:23.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,None,DOUBLE YELLOW,Sector,6.0,None,None
2026-03-28T03:37:23.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,None,DOUBLE YELLOW,Sector,13.0,None,None
2026-03-28T03:37:23.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,None,DOUBLE YELLOW,Sector,14.0,None,None
2026-03-28T03:37:23.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 23,None,DOUBLE YELLOW,Sector,23.0,None,None
2026-03-28T03:37:23.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,None,DOUBLE YELLOW,Sector,5.0,None,None
2026-03-28T03:37:25.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,None,DOUBLE YELLOW,Sector,4.0,None,None
2026-03-28T03:37:26.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 27,None,DOUBLE YELLOW,Sector,27.0,None,None
2026-03-28T03:37:27.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,None,DOUBLE YELLOW,Sector,16.0,None,None
2026-03-28T03:37:27.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,None,DOUBLE YELLOW,Sector,17.0,None,None
2026-03-28T03:37:29.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,None,DOUBLE YELLOW,Sector,20.0,None,None
2026-03-28T03:37:29.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 28,None,DOUBLE YELLOW,Sector,28.0,None,None
2026-03-28T03:37:30.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 29,None,DOUBLE YELLOW,Sector,29.0,None,None
2026-03-28T03:37:42.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,None,DOUBLE YELLOW,Sector,3.0,None,None
