wT,wAT,wH,wP,wR,wTT,wWD,wWS
27.953,16.3,48.1,1009.1,False,35.4,292,0.5
87.959,16.4,47.7,1009.0,False,35.5,304,0.3
147.943,16.3,47.4,1009.0,False,36.1,129,1.2
207.956,16.4,47.3,1009.0,False,35.6,117,1.1
267.971,16.5,47.5,1009.0,False,35.2,70,1.7
327.971,16.5,48.3,1009.0,False,35.6,260,0.6
387.972,16.6,47.8,1009.0,False,32.5,281,3.2
447.993,16.5,48.4,1009.1,False,31.8,278,2.1
508.0,16.4,49.2,1009.0,False,32.2,0,0.0
567.994,16.3,49.5,1009.0,False,34.0,344,0.4
627.992,16.3,48.7,1009.0,False,34.4,86,0.5
687.993,16.3,47.7,1008.9,False,34.9,189,0.6
748.007,16.4,47.0,1008.9,False,34.5,68,1.3
807.993,16.5,46.9,1008.9,False,35.3,79,0.6
867.99,16.7,47.4,1008.8,False,36.0,137,2.2
927.995,16.9,48.2,1008.9,False,36.3,131,1.0
987.999,16.7,48.6,1008.8,False,36.1,119,0.9
1048.005,16.6,49.5,1008.8,False,36.6,0,0.0
1107.999,16.8,48.8,1008.8,False,36.1,10,1.0
1167.997,16.7,47.7,1008.8,False,35.5,0,0.0
1228.001,16.6,48.2,1008.8,False,35.9,331,2.6
1288.004,16.6,46.3,1008.8,False,36.3,328,2.2
1347.995,16.6,46.4,1008.8,False,36.4,351,1.2
1408.0,16.6,47.7,1008.8,False,36.9,285,2.2
1468.002,16.8,47.3,1008.7,False,36.2,69,0.9
1528.01,16.9,48.3,1008.7,False,34.9,38,1.8
1588.007,16.7,48.8,1008.6,False,36.0,45,0.9
1648.023,16.8,49.8,1008.7,False,36.8,134,1.0
1708.051,16.9,49.8,1008.5,False,36.5,78,0.6
1768.051,16.9,49.1,1008.5,False,37.4,182,1.6
1828.052,16.7,49.3,1008.5,False,37.2,156,2.6
1888.068,16.7,49.4,1008.5,False,36.9,129,1.1
1948.058,16.7,50.5,1008.5,False,37.4,138,1.1
2008.088,16.7,50.5,1008.5,False,37.4,138,1.1
2068.088,16.8,50.1,1008.4,False,35.9,169,2.3
2128.105,16.7,51.1,1008.3,False,37.4,158,1.3
2188.102,16.6,50.2,1008.4,False,36.7,122,1.7
2248.102,16.5,50.7,1008.3,False,36.4,124,3.3
2308.105,16.4,50.7,1008.4,False,37.1,140,2.8
2368.126,16.3,51.6,1008.3,False,36.8,122,2.3
2428.131,16.3,52.6,1008.3,False,36.5,118,2.9
2488.148,16.6,51.4,1008.4,False,37.3,154,2.5
2548.154,16.1,51.4,1008.4,False,37.3,154,2.5
2608.171,16.2,50.3,1008.4,False,37.2,147,3.1
2668.198,16.3,50.5,1008.4,False,37.3,137,2.6
2728.202,16.3,51.0,1008.4,False,37.2,153,2.5
2788.218,16.3,50.4,1008.4,False,37.8,128,1.7
2848.251,16.7,50.8,1008.4,False,37.1,140,1.9
2908.252,16.4,50.7,1008.4,False,37.2,147,3.5
2968.251,16.5,50.5,1008.4,False,37.7,164,1.8
3028.268,16.4,52.3,1008.3,False,37.8,136,2.6
3088.272,16.4,50.9,1008.2,False,36.9,116,2.7
3148.272,16.4,49.9,1008.3,False,37.2,120,2.5
3208.269,16.1,49.7,1008.3,False,37.7,171,2.0
3268.272,16.1,50.7,1008.2,False,38.1,130,1.5
3328.274,16.3,49.9,1008.2,False,37.6,155,3.2
3388.277,16.3,49.3,1008.2,False,37.8,158,1.8
3448.276,16.1,50.0,1008.1,False,37.8,129,3.0
3508.28,16.1,49.9,1008.1,False,37.4,131,1.4
3568.277,16.2,50.1,1008.1,False,37.6,131,1.0
3628.297,16.1,50.5,1008.1,False,37.2,92,2.3
3688.293,16.1,50.6,1008.1,False,37.7,127,2.0
3748.295,16.2,49.2,1008.0,False,38.1,136,1.6
3808.309,16.2,49.7,1008.0,False,37.6,142,2.1
3868.325,16.2,48.9,1008.0,False,38.0,132,2.6
3928.344,16.2,49.2,1008.1,False,37.9,135,2.7
3988.345,16.1,49.8,1008.1,False,37.7,145,2.9
4048.343,16.1,50.5,1008.0,False,37.7,109,0.8
4108.347,16.3,49.5,1008.0,False,38.0,157,2.3
4168.363,16.4,48.3,1008.1,False,37.8,125,2.0
4228.377,16.4,48.9,1007.9,False,38.2,163,2.6
4288.382,16.4,49.1,1008.0,False,38.5,128,2.9
4348.395,16.5,48.4,1008.0,False,38.5,162,1.6
4408.397,16.4,49.0,1008.0,False,38.5,132,1.8
4468.411,16.3,49.0,1008.0,False,38.6,148,3.2
4528.425,16.3,49.0,1007.9,False,38.3,130,0.7
4588.429,16.4,49.3,1007.9,False,38.6,152,3.3
4648.442,16.5,47.8,1007.9,False,38.5,122,0.8
4708.448,16.5,48.0,1007.8,False,38.9,150,2.4
4768.46,16.5,48.1,1007.7,False,38.4,177,2.7
4828.462,16.3,49.0,1007.8,False,38.6,160,3.1
4888.454,16.4,49.6,1007.8,False,38.5,159,3.0
4948.466,16.4,49.8,1007.8,False,39.1,153,1.9
