time,cat,msg,status,flag,scope,sector,dNum,lap
2026-03-27T03:38:13.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,None,DOUBLE YELLOW,Sector,16.0,None,None
2026-03-27T03:38:14.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 24,None,DOUBLE YELLOW,Sector,24.0,None,None
2026-03-27T03:38:17.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,None,DOUBLE YELLOW,Sector,10.0,None,None
2026-03-27T03:38:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,None,DOUBLE YELLOW,Sector,7.0,None,None
2026-03-27T03:38:20.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 27,None,DOUBLE YELLOW,Sector,27.0,None,None
2026-03-27T03:38:24.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,None,DOUBLE YELLOW,Sector,17.0,None,None
2026-03-27T03:38:45.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,None,DOUBLE YELLOW,Sector,18.0,None,None
2026-03-27T03:38:49.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,None,DOUBLE YELLOW,Sector,15.0,None,None
2026-03-27T03:39:01.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,None,DOUBLE YELLOW,Sector,1.0,None,None
2026-03-27T03:39:02.000000000,Flag,CLEAR IN TRACK SECTOR 4,None,CLEAR,Sector,4.0,None,None
2026-03-27T03:39:02.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,None,DOUBLE YELLOW,Sector,4.0,None,None
2026-03-27T03:39:08.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
