wT,wAT,wH,wP,wR,wTT,wWD,wWS
6406.972,18.5,50.7,1011.7,False,32.3,106,2.0
6466.974,18.4,50.4,1011.7,False,32.6,137,2.3
6526.974,18.4,49.5,1011.7,False,32.3,144,3.1
6586.973,18.3,50.5,1011.7,False,32.2,136,2.5
6647.144,18.4,48.2,1011.7,False,32.6,148,2.6
6706.975,18.3,47.7,1011.7,False,32.3,122,2.3
6766.977,18.3,47.8,1011.7,False,32.4,126,2.2
6826.974,18.4,48.2,1011.7,False,32.4,132,2.6
6886.976,18.4,47.6,1011.7,False,32.1,135,0.8
6946.978,18.4,48.4,1011.7,False,31.9,125,3.5
7006.979,18.4,49.7,1011.7,False,32.0,129,1.9
7066.984,18.5,49.6,1011.7,False,31.7,344,1.4
7126.981,18.5,50.7,1011.6,False,32.0,133,2.0
7186.981,18.5,50.0,1011.7,False,31.5,140,1.1
7246.983,18.5,50.2,1011.7,False,31.5,188,0.6
7306.992,18.5,51.0,1011.6,False,31.4,113,1.2
7366.98,18.3,51.1,1011.6,False,31.4,154,2.4
7426.981,18.2,51.7,1011.7,False,31.3,135,2.2
7486.983,18.1,52.4,1011.7,False,31.1,170,0.8
7546.988,18.0,53.7,1011.6,False,31.0,138,1.5
7606.985,17.9,54.3,1011.6,False,30.9,116,1.0
7666.984,17.9,55.6,1011.6,False,30.7,88,0.8
7726.986,17.9,55.8,1011.7,False,31.1,119,1.8
7786.985,17.9,54.7,1011.5,False,30.9,131,1.4
7846.99,17.8,55.5,1011.6,False,31.0,167,1.0
7906.999,17.8,55.9,1011.6,False,30.5,87,1.3
7966.994,17.8,55.7,1011.6,False,30.7,140,0.6
8026.998,18.1,55.4,1011.6,False,30.6,153,2.5
8086.992,17.8,55.6,1011.7,False,30.0,100,1.5
8146.993,17.9,57.1,1011.7,False,30.4,140,0.9
8207.003,17.9,57.3,1011.7,False,30.5,9,0.5
8266.992,18.0,57.2,1011.7,False,30.8,133,0.9
8326.995,18.0,56.5,1011.7,False,30.9,129,1.1
8386.994,18.0,56.6,1011.7,False,29.6,83,2.0
8446.992,18.0,56.6,1011.8,False,30.2,104,0.9
8507.001,17.9,57.4,1011.8,False,30.8,91,0.8
8566.995,17.9,56.8,1011.7,False,30.5,38,0.9
8627.007,17.9,57.3,1011.8,False,30.2,81,1.3
8687.017,17.9,57.8,1011.7,False,30.9,110,0.9
8747.031,18.0,57.6,1011.8,False,30.5,146,1.4
8807.046,18.0,57.9,1011.7,False,30.6,128,1.5
8867.045,17.8,59.2,1011.8,False,30.2,113,1.9
8927.064,17.7,59.7,1011.7,False,30.3,134,2.8
8987.049,17.6,59.8,1011.8,False,30.0,107,1.5
9047.054,17.4,61.3,1011.8,False,29.9,122,1.8
9107.051,17.4,61.5,1011.8,False,30.0,133,0.9
9167.052,17.3,62.5,1011.8,False,29.8,57,0.3
9227.058,17.3,62.8,1011.8,False,30.0,0,0.0
9287.055,17.3,61.8,1011.8,False,29.7,136,1.9
9347.05,17.3,60.9,1011.8,False,29.2,100,1.2
