file,rows
converted_pitstop_rankings/pitstop_ranking_2021_qatar-grand-prix.csv,30
converted_pitstop_rankings/pitstop_ranking_2021_russian-grand-prix.csv,39
converted_pitstop_rankings/pitstop_ranking_2021_sao-paulo-grand-prix.csv,37
converted_pitstop_rankings/pitstop_ranking_2021_saudi-arabian-grand-prix.csv,12
converted_pitstop_rankings/pitstop_ranking_2021_spanish-grand-prix.csv,37
converted_pitstop_rankings/pitstop_ranking_2021_styrian-grand-prix.csv,24
converted_pitstop_rankings/pitstop_ranking_2021_turkish-grand-prix.csv,20
converted_pitstop_rankings/pitstop_ranking_2021_united-states-grand-prix.csv,41
converted_pitstop_rankings/pitstop_ranking_2022_abu-dhabi-grand-prix.csv,31
converted_pitstop_rankings/pitstop_ranking_2022_australian-grand-prix.csv,22
converted_pitstop_rankings/pitstop_ranking_2022_austrian-grand-prix.csv,42
converted_pitstop_rankings/pitstop_ranking_2022_azerbaijan-grand-prix.csv,26
converted_pitstop_rankings/pitstop_ranking_2022_bahrain-grand-prix.csv,58
converted_pitstop_rankings/pitstop_ranking_2022_belgian-grand-prix.csv,38
converted_pitstop_rankings/pitstop_ranking_2022_british-grand-prix.csv,30
converted_pitstop_rankings/pitstop_ranking_2022_canadian-grand-prix.csv,32
converted_pitstop_rankings/pitstop_ranking_2022_dutch-grand-prix.csv,57
converted_pitstop_rankings/pitstop_ranking_2022_emilia-romagna-grand-prix.csv,25
converted_pitstop_rankings/pitstop_ranking_2022_french-grand-prix.csv,25
converted_pitstop_rankings/pitstop_ranking_2022_hungarian-grand-prix.csv,42
converted_pitstop_rankings/pitstop_ranking_2022_italian-grand-prix.csv,28
converted_pitstop_rankings/pitstop_ranking_2022_japanese-grand-prix.csv,24
converted_pitstop_rankings/pitstop_ranking_2022_mexico-city-grand-prix.csv,23
converted_pitstop_rankings/pitstop_ranking_2022_miami-grand-prix.csv,25
converted_pitstop_rankings/pitstop_ranking_2022_monaco-grand-prix.csv,35
converted_pitstop_rankings/pitstop_ranking_2022_sao-paulo-grand-prix.csv,44
converted_pitstop_rankings/pitstop_ranking_2022_saudi-arabian-grand-prix.csv,18
converted_pitstop_rankings/pitstop_ranking_2022_singapore-grand-prix.csv,21
converted_pitstop_rankings/pitstop_ranking_2022_spanish-grand-prix.csv,53
converted_pitstop_rankings/pitstop_ranking_2022_united-states-grand-prix.csv,36
converted_pitstop_rankings/pitstop_ranking_2023_abu-dhabi-grand-prix.csv,37
converted_pitstop_rankings/pitstop_ranking_2023_australian-grand-prix.csv,16
