time,cat,msg,status,flag,scope,sector,dNum,lap
2026-02-19T06:57:19.000000000,Other,PINK HEAD PADDING MATERIAL MUST BE USED,None,None,None,None,None,None
2026-02-19T07:00:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-19T10:52:02.000000000,Flag,RED FLAG,None,RED,Track,None,None,None
2026-02-19T10:54:20.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-19T10:54:25.000000000,Other,RACE WILL RESUME AT 13:55,None,None,None,None,None,None
2026-02-19T10:55:42.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-19T10:57:44.000000000,Other,EXTRA FORMATION LAP,None,None,None,None,None,None
2026-02-19T10:58:32.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-19T11:00:52.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-02-19T11:01:25.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-02-19T11:01:26.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,None
2026-02-19T11:01:39.000000000,Flag,RED FLAG,None,RED,Track,None,None,None
2026-02-19T11:03:53.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-19T11:57:07.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,None
2026-02-19T12:00:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-19T12:08:04.000000000,Flag,CLEAR IN TRACK SECTOR 4,None,CLEAR,Sector,4.0,None,None
2026-02-19T12:52:12.000000000,Flag,YELLOW IN TRACK SECTOR 4,None,YELLOW,Sector,4.0,None,None
2026-02-19T12:52:23.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,None,DOUBLE YELLOW,Sector,4.0,None,None
2026-02-19T12:52:24.000000000,Flag,YELLOW IN TRACK SECTOR 3,None,YELLOW,Sector,3.0,None,None
2026-02-19T12:52:46.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-19T12:52:46.000000000,Flag,CLEAR IN TRACK SECTOR 3,None,CLEAR,Sector,3.0,None,None
2026-02-19T12:52:46.000000000,Flag,CLEAR IN TRACK SECTOR 4,None,CLEAR,Sector,4.0,None,None
2026-02-19T12:54:56.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-19T12:55:02.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,None,DOUBLE YELLOW,Sector,4.0,None,None
2026-02-19T13:08:22.000000000,Flag,CLEAR IN TRACK SECTOR 4,None,CLEAR,Sector,4.0,None,None
2026-02-19T13:08:24.000000000,Other,SESSION WILL RESUME AT 16:09,None,None,None,None,None,None
2026-02-19T13:09:00.000000000,Flag,GREEN LIGHT - PIT EXIT OPEN,None,GREEN,Track,None,None,None
2026-02-19T13:17:02.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,None
2026-02-19T13:24:37.000000000,Other,YELLOW IN PIT LANE,None,None,None,None,None,None
2026-02-19T13:27:26.000000000,Other,PIT LANE ENTRY OPEN,None,None,None,None,None,None
2026-02-19T15:52:02.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-19T15:54:06.000000000,Other,RACE WILL RESUME AT 18:55,None,None,None,None,None,None
2026-02-19T15:54:08.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
2026-02-19T15:55:42.000000000,Flag,YELLOW IN TRACK SECTOR 2,None,YELLOW,Sector,2.0,None,None
2026-02-19T15:55:58.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-19T15:56:26.000000000,Flag,YELLOW IN TRACK SECTOR 2,None,YELLOW,Sector,2.0,None,None
2026-02-19T15:57:01.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-02-19T15:58:09.000000000,Other,EXTRA FORMATION LAP,None,None,None,None,None,None
2026-02-19T15:58:55.000000000,Other,STANDING START,None,None,None,None,None,None
2026-02-19T16:01:21.000000000,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,None,DOUBLE YELLOW,Sector,2.0,None,None
2026-02-19T16:01:54.000000000,Other,OVERTAKE ENABLED,None,None,None,None,None,None
2026-02-19T16:02:16.000000000,Other,RED FLAG - RACE SUSPENDED,None,None,None,None,None,None
2026-02-19T16:02:16.000000000,Flag,CLEAR IN TRACK SECTOR 2,None,CLEAR,Sector,2.0,None,None
2026-02-19T16:03:54.000000000,Flag,TRACK CLEAR,None,CLEAR,Track,None,None,None
