wT,wAT,wH,wP,wR,wTT,wWD,wWS
6369.915,25.0,40.5,1016.8,False,40.7,176,1.4
6430.527,25.0,40.2,1016.7,False,40.9,188,3.4
6489.925,25.0,40.3,1016.7,False,41.1,194,2.1
6549.944,25.0,39.0,1016.6,False,40.9,220,2.1
6609.953,25.1,38.6,1016.6,False,41.5,204,2.2
6669.977,25.2,36.8,1016.6,False,41.3,197,2.7
6730.303,25.4,35.6,1016.5,False,41.4,202,3.0
6789.981,25.5,36.2,1016.5,False,41.8,206,2.2
6849.974,25.6,35.6,1016.5,False,41.9,187,3.2
6910.475,25.7,34.4,1016.5,False,41.8,196,4.0
6970.003,25.9,31.2,1016.5,False,41.7,190,2.6
7030.007,26.0,29.7,1016.5,False,41.7,204,4.3
7090.044,26.1,29.0,1016.6,False,41.9,200,3.9
7150.018,26.1,29.2,1016.6,False,41.6,213,1.9
7210.04,26.2,28.9,1016.5,False,42.2,209,2.5
7270.046,26.3,28.3,1016.5,False,42.1,191,3.8
7330.048,26.2,28.4,1016.5,False,42.0,193,2.6
7390.057,26.1,28.2,1016.5,False,42.1,203,3.3
7450.071,26.2,25.4,1016.4,False,42.0,196,2.9
7510.108,26.3,26.2,1016.4,False,41.9,181,3.4
7570.096,26.3,25.5,1016.4,False,42.2,189,2.7
7630.106,26.4,26.7,1016.4,False,42.1,188,2.5
7690.158,26.4,27.9,1016.5,False,42.5,212,2.7
7750.123,26.5,26.7,1016.4,False,42.3,205,3.1
7810.144,26.4,26.1,1016.3,False,42.1,180,3.3
7870.152,26.2,26.0,1016.4,False,42.1,204,3.0
7930.159,26.1,26.0,1016.4,False,42.4,198,3.3
7990.534,26.2,26.2,1016.4,False,42.5,212,3.3
8050.185,26.3,26.1,1016.5,False,42.7,201,2.3
8110.207,26.4,26.4,1016.4,False,42.8,216,1.3
8170.186,26.5,25.9,1016.4,False,42.8,197,3.2
8230.199,26.4,26.6,1016.4,False,42.8,187,2.1
8290.194,26.5,27.4,1016.4,False,42.9,209,3.5
8350.208,26.5,25.8,1016.3,False,43.3,197,2.9
8410.19,26.6,24.8,1016.3,False,42.9,193,2.4
8470.5,26.5,25.0,1016.4,False,42.8,210,1.9
8530.226,26.5,25.3,1016.3,False,43.0,199,1.4
8590.239,26.6,24.8,1016.2,False,43.1,217,3.5
8650.689,26.8,24.6,1016.3,False,43.5,205,2.4
8710.728,26.9,24.4,1016.3,False,43.5,196,2.7
8770.296,26.9,22.9,1016.2,False,43.4,180,2.5
8830.314,26.8,22.7,1016.3,False,43.3,207,1.4
8890.324,26.8,23.0,1016.2,False,43.4,210,2.2
8950.331,26.9,22.7,1016.1,False,44.0,202,2.4
9010.359,27.0,21.5,1016.2,False,43.8,182,2.7
9070.348,26.9,20.6,1016.1,False,43.6,173,1.5
9130.354,26.9,21.6,1016.2,False,43.7,200,3.6
9190.341,27.0,21.6,1016.1,False,43.8,194,2.8
9250.341,27.1,21.4,1016.1,False,43.8,206,3.3
9310.354,27.2,20.7,1016.1,False,43.8,204,3.4
9370.361,27.3,20.8,1016.1,False,43.6,204,3.5
9430.393,27.3,20.4,1016.1,False,43.9,194,2.6
9490.394,27.4,19.7,1016.1,False,43.8,191,2.6
9550.558,27.4,19.3,1016.1,False,43.7,178,2.9
9610.412,27.4,19.6,1016.1,False,43.9,196,1.6
9670.407,27.5,20.0,1016.0,False,44.2,182,3.0
9730.394,27.6,19.5,1016.0,False,44.0,204,3.2
9790.412,27.6,20.5,1016.0,False,44.1,207,3.2
9850.413,27.6,19.5,1016.1,False,44.0,186,1.8
9910.395,27.5,20.0,1016.1,False,44.3,202,2.2
9970.418,27.6,20.0,1016.1,False,44.3,184,1.8
10030.462,27.6,20.3,1016.0,False,44.1,191,2.8
10090.455,27.7,19.2,1016.0,False,44.5,190,2.5
10150.451,27.6,19.8,1016.0,False,44.5,188,2.7
10210.475,27.6,19.5,1015.9,False,44.1,216,3.0
10270.498,27.6,19.3,1016.0,False,44.4,213,2.6
10330.499,27.7,19.1,1015.9,False,44.4,212,2.5
10390.5,27.6,19.8,1015.9,False,44.8,203,2.7
10450.899,27.7,19.3,1015.8,False,44.2,191,4.2
10510.5,27.6,19.7,1015.9,False,44.4,204,2.9
10570.5,27.5,19.9,1015.8,False,44.5,201,2.2
10630.525,27.5,20.1,1015.8,False,44.3,198,4.2
10690.523,27.5,20.0,1015.8,False,44.2,212,2.7
10750.538,27.4,19.8,1015.7,False,43.9,209,3.0
10810.563,27.5,19.7,1015.8,False,44.5,202,3.8
10870.559,27.7,20.1,1015.6,False,44.3,192,3.6
10930.878,27.7,19.9,1015.7,False,44.2,174,0.9
10990.579,27.6,19.3,1015.7,False,44.7,210,2.5
11050.607,27.7,19.8,1015.8,False,45.0,196,2.5
11110.616,27.7,18.8,1015.6,False,44.7,195,2.6
11170.609,27.6,19.3,1015.6,False,44.7,199,2.8
11230.629,27.6,19.3,1015.7,False,44.7,194,2.8
11290.641,27.8,19.1,1015.7,False,44.9,208,4.0
11350.78,27.8,18.7,1015.7,False,45.0,199,2.2
11410.643,27.9,19.0,1015.7,False,44.9,187,1.1
11470.646,27.8,19.0,1015.7,False,45.0,205,2.2
11530.66,27.9,18.0,1015.6,False,44.9,190,3.4
11590.693,27.8,18.0,1015.7,False,44.8,192,2.9
11650.694,27.8,18.1,1015.7,False,44.9,185,2.4
11710.711,27.6,18.3,1015.7,False,44.8,207,2.1
11770.707,27.7,18.4,1015.7,False,44.5,182,3.3
11830.733,27.7,18.5,1015.6,False,44.8,194,3.5
11890.732,27.6,18.5,1015.6,False,44.8,189,1.6
11950.898,27.6,18.7,1015.6,False,44.6,176,3.0
