season,round,race_name,race_slug,driver_id,stop_number,lap,pit_time_local,pit_duration_s,pit_duration_ms
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,alonso,1,7,15:13:08,31.368,31368.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,albon,1,8,15:14:25,30.05,30050.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,gasly,1,8,15:14:26,30.081,30081.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,bottas,1,8,15:14:28,30.24,30240.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,albon,2,9,15:17:08,33.179,33179.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,ricciardo,1,11,15:18:29,30.068,30068.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,tsunoda,1,12,15:19:49,29.628,29628.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,hulkenberg,1,13,15:21:11,29.749,29749.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,russell,1,21,15:31:57,29.664,29664.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,norris,1,22,15:33:08,29.956,29956.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,piastri,1,23,15:34:37,29.77,29770.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,max_verstappen,1,24,15:35:46,30.416,30416.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,albon,3,23,15:36:52,38.413,38413.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,leclerc,1,25,15:37:15,30.149,30149.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,ocon,1,25,15:37:56,30.659,30659.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,sainz,1,27,15:40:03,30.508,30508.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,hamilton,1,27,15:40:14,29.547,29547.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,albon,4,28,15:44:25,31.131,31131.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,gasly,2,30,15:45:06,30.654,30654.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,sargeant,1,31,15:46:28,31.085,31085.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,zhou,1,33,15:49:09,30.244,30244.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,perez,1,37,15:54:16,29.669,29669.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,stroll,1,37,15:54:22,29.971,29971.0
2024,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,kevin_magnussen,1,37,15:54:36,31.302,31302.0
