season,round,race_name,race_slug,lap,driver_id,position_on_lap,lap_time,lap_time_ms
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,max_verstappen,1,1:22.992,82992
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,piastri,2,1:23.966,83966
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,russell,3,1:24.968,84968
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,norris,4,1:25.806,85806
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,alonso,5,1:26.360,86360
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,sainz,6,1:26.933,86933
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,albon,7,1:27.403,87403
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,stroll,8,1:27.757,87757
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,gasly,9,1:28.236,88236
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,leclerc,10,1:28.571,88571
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,hadjar,11,1:29.045,89045
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,antonelli,12,1:29.534,89534
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,hamilton,13,1:29.981,89981
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,bortoleto,14,1:30.416,90416
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,lawson,15,1:30.945,90945
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,hulkenberg,16,1:31.936,91936
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,colapinto,17,1:32.370,92370
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,bearman,18,1:33.051,93051
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,tsunoda,19,1:35.056,95056
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,1,ocon,20,1:36.497,96497
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,max_verstappen,1,1:21.131,81131
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,piastri,2,1:21.601,81601
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,russell,3,1:21.596,81596
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,norris,4,1:21.819,81819
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,alonso,5,1:22.150,82150
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,sainz,6,1:22.200,82200
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2,albon,7,1:22.323,82323
