season,round,race_name,race_slug,date,time,circuit_id,circuit_name,locality,country,firstpractice_date,firstpractice_time,secondpractice_date,secondpractice_time,thirdpractice_date,thirdpractice_time,qualifying_date,qualifying_time,sprint_date,sprint_time,sprintqualifying_date,sprintqualifying_time
2025,1,Australian Grand Prix,australian-grand-prix,2025-03-16,04:00:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2025-03-14,01:30:00Z,2025-03-14,05:00:00Z,2025-03-15,01:30:00Z,2025-03-15,05:00:00Z,,,,
2025,2,Chinese Grand Prix,chinese-grand-prix,2025-03-23,07:00:00Z,shanghai,Shanghai International Circuit,Shanghai,China,2025-03-21,03:30:00Z,,,,,2025-03-22,07:00:00Z,2025-03-22,03:00:00Z,2025-03-21,07:30:00Z
2025,3,Japanese Grand Prix,japanese-grand-prix,2025-04-06,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,2025-04-04,02:30:00Z,2025-04-04,06:00:00Z,2025-04-05,02:30:00Z,2025-04-05,06:00:00Z,,,,
2025,4,Bahrain Grand Prix,bahrain-grand-prix,2025-04-13,15:00:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,2025-04-11,11:30:00Z,2025-04-11,15:00:00Z,2025-04-12,12:30:00Z,2025-04-12,16:00:00Z,,,,
2025,5,Saudi Arabian Grand Prix,saudi-arabian-grand-prix,2025-04-20,17:00:00Z,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,2025-04-18,13:30:00Z,2025-04-18,17:00:00Z,2025-04-19,13:30:00Z,2025-04-19,17:00:00Z,,,,
2025,6,Miami Grand Prix,miami-grand-prix,2025-05-04,20:00:00Z,miami,Miami International Autodrome,Miami,USA,2025-05-02,16:30:00Z,,,,,2025-05-03,20:00:00Z,2025-05-03,16:00:00Z,2025-05-02,20:30:00Z
2025,7,Emilia Romagna Grand Prix,emilia-romagna-grand-prix,2025-05-18,13:00:00Z,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,2025-05-16,11:30:00Z,2025-05-16,15:00:00Z,2025-05-17,10:30:00Z,2025-05-17,14:00:00Z,,,,
2025,8,Monaco Grand Prix,monaco-grand-prix,2025-05-25,13:00:00Z,monaco,Circuit de Monaco,Monte Carlo,Monaco,2025-05-23,11:30:00Z,2025-05-23,15:00:00Z,2025-05-24,10:30:00Z,2025-05-24,14:00:00Z,,,,
2025,9,Spanish Grand Prix,spanish-grand-prix,2025-06-01,13:00:00Z,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,2025-05-30,11:30:00Z,2025-05-30,15:00:00Z,2025-05-31,10:30:00Z,2025-05-31,14:00:00Z,,,,
2025,10,Canadian Grand Prix,canadian-grand-prix,2025-06-15,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2025-06-13,17:30:00Z,2025-06-13,21:00:00Z,2025-06-14,16:30:00Z,2025-06-14,20:00:00Z,,,,
2025,11,Austrian Grand Prix,austrian-grand-prix,2025-06-29,13:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,2025-06-27,11:30:00Z,2025-06-27,15:00:00Z,2025-06-28,10:30:00Z,2025-06-28,14:00:00Z,,,,
2025,12,British Grand Prix,british-grand-prix,2025-07-06,14:00:00Z,silverstone,Silverstone Circuit,Silverstone,UK,2025-07-04,11:30:00Z,2025-07-04,15:00:00Z,2025-07-05,10:30:00Z,2025-07-05,14:00:00Z,,,,
2025,13,Belgian Grand Prix,belgian-grand-prix,2025-07-27,13:00:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2025-07-25,10:30:00Z,,,,,2025-07-26,14:00:00Z,2025-07-26,10:00:00Z,2025-07-25,14:30:00Z
2025,14,Hungarian Grand Prix,hungarian-grand-prix,2025-08-03,13:00:00Z,hungaroring,Hungaroring,Budapest,Hungary,2025-08-01,11:30:00Z,2025-08-01,15:00:00Z,2025-08-02,10:30:00Z,2025-08-02,14:00:00Z,,,,
2025,15,Dutch Grand Prix,dutch-grand-prix,2025-08-31,13:00:00Z,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,2025-08-29,10:30:00Z,2025-08-29,14:00:00Z,2025-08-30,09:30:00Z,2025-08-30,13:00:00Z,,,,
2025,16,Italian Grand Prix,italian-grand-prix,2025-09-07,13:00:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,2025-09-05,11:30:00Z,2025-09-05,15:00:00Z,2025-09-06,10:30:00Z,2025-09-06,14:00:00Z,,,,
2025,17,Azerbaijan Grand Prix,azerbaijan-grand-prix,2025-09-21,11:00:00Z,baku,Baku City Circuit,Baku,Azerbaijan,2025-09-19,08:30:00Z,2025-09-19,12:00:00Z,2025-09-20,08:30:00Z,2025-09-20,12:00:00Z,,,,
