wT,wAT,wH,wP,wR,wTT,wWD,wWS
19.345,24.3,60.9,1020.3,False,31.5,130,0.9
79.336,24.3,60.9,1020.3,False,31.5,130,0.9
139.346,24.3,59.8,1020.3,False,31.8,177,0.7
199.334,24.3,59.7,1020.3,False,32.2,202,0.5
259.322,24.3,58.6,1020.3,False,32.0,314,1.0
319.344,24.4,57.6,1020.3,False,32.5,168,0.6
379.348,24.4,57.3,1020.3,False,32.3,202,1.3
439.363,24.4,57.6,1020.3,False,32.3,226,1.8
499.818,24.4,57.9,1020.2,False,32.3,143,0.7
559.354,24.4,58.0,1020.1,False,33.1,202,1.6
619.376,24.4,57.3,1020.3,False,32.9,225,1.0
679.35,24.5,57.7,1020.2,False,33.2,0,0.0
739.397,24.5,56.4,1020.1,False,33.5,204,0.8
799.389,24.5,56.5,1020.2,False,32.9,185,0.8
859.389,24.6,55.3,1020.1,False,33.2,190,0.8
919.416,24.7,54.2,1020.1,False,32.9,127,1.0
979.396,24.7,54.2,1020.1,False,32.9,127,1.0
1039.427,24.7,54.5,1020.2,False,34.4,354,0.9
1099.405,24.7,54.4,1020.2,False,34.5,9,1.1
1159.453,24.7,54.6,1020.1,False,33.5,82,0.5
1219.524,24.7,55.7,1020.2,False,33.7,107,0.8
1279.405,24.7,55.5,1020.2,False,34.4,0,0.0
1339.404,24.7,55.7,1020.1,False,33.3,100,1.0
1399.431,24.8,55.7,1020.1,False,33.3,100,1.0
1459.405,24.9,55.2,1020.1,False,34.1,88,0.8
1519.813,24.8,54.5,1020.1,False,34.9,165,0.7
1580.332,24.7,54.1,1020.1,False,34.5,148,0.6
1639.407,24.8,54.0,1020.1,False,34.0,108,0.9
1699.414,24.8,54.3,1020.0,False,34.4,49,0.7
1759.42,24.9,53.9,1020.0,False,35.2,42,0.4
1819.435,24.9,53.4,1020.0,False,35.6,6,0.9
1879.445,24.9,53.0,1020.1,False,34.9,49,0.8
1939.484,25.0,52.4,1020.1,False,35.2,34,0.7
1999.457,25.0,52.3,1020.1,False,35.6,34,2.2
2059.466,25.0,52.3,1019.9,False,34.7,68,0.8
2119.495,25.1,52.5,1019.9,False,35.4,336,0.7
2179.498,25.1,52.0,1020.0,False,36.2,345,0.4
2239.485,25.2,51.4,1019.9,False,36.1,15,0.3
2299.559,25.4,49.9,1020.0,False,36.7,223,1.0
2360.134,25.3,49.7,1019.9,False,36.0,191,1.3
2419.511,25.3,50.5,1019.9,False,35.9,55,0.7
2479.5,25.3,51.1,1019.9,False,35.3,78,1.0
2540.311,25.2,51.5,1019.9,False,35.9,141,0.6
